chembl_id,preferred_name,trade_names,url,targets,mechanisms
CHEMBL635,PREDNISONE,Cortan; Cortancyl; Decortisyl; Delta-dome; Deltasone; Fernisone; Liquid pred; Lodotra; Meticorten; Orasone; Paracort; Prednicen-m; Prednisone; Prednisone intensol; Rayos; Servisone; Sterapred,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL635,p(HGNC:NR3C1),"bp(MOA:""Glucocorticoid receptor agonist"")"
CHEMBL1743033,ITOLIZUMAB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1743033,,"bp(MOA:""T-cell differentiation antigen CD6 inhibitor"")"
CHEMBL1200689,NITRIC OXIDE,Genosyl; Inomax,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200689,p(HGNC:GUCY1B1),"bp(MOA:""Soluble guanylate cyclase activator"")"
CHEMBL4298207,ZILUCOPLAN,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4298207,p(HGNC:C5),"bp(MOA:""Complement C5 inhibitor"")"
CHEMBL2108730,SARILUMAB,Kevzara,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108730,p(HGNC:IL6R),"bp(MOA:""Interleukin-6 receptor alpha subunit antagonist"")"
CHEMBL1201580,ADALIMUMAB,Amgevita; Amsparity; Cyltezo; Halimatoz; Hefiya; Hulio; Humira; Idacio; Imraldi; Kromeya; Libmyris; Solymbic; Trudexa,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201580,p(HGNC:TNF),"bp(MOA:""TNF-alpha inhibitor"")"
CHEMBL25,ASPIRIN,8-hour bayer; Acetosalic acid; Acetylsalic acid; Alka rapid; Anadin all night; Angettes 75; Aspirin; Aspirin component of aggrenox; Aspirin component of axotal; Aspirin component of azdone; Aspirin component of carisoprodol compound; Aspirin component of clopidogrel/acetylsalicylic acid; Aspirin component of codoxy; Aspirin component of darvon compound; Aspirin component of duocover; Aspirin component of duoplavin; Aspirin component of equagesic; Aspirin component of excedrin; Aspirin component of fiorinal; Aspirin component of invagesic; Aspirin component of invagesic forte; Aspirin component of lanorinal; Aspirin component of mepro-; Aspirin component of micrainin; Aspirin component of norgesic; Aspirin component of orphengesic; Aspirin component of orphengesic forte; Aspirin component of pa-32540; Aspirin component of -pc; Aspirin component of percodan; Aspirin component of percodan-demi; Aspirin component of pl2200; Aspirin component of pravigard pac; Aspirin component of q-gesic; Aspirin component of robaxisal; Aspirin component of roxiprin; Aspirin component of soma compound; Aspirin component of synalgos-dc; Aspirin component of talwin compound; Aspirin component of vicoprin; Aspirin component of yosprala; Aspro clr; Bayer extra strength aspirin for migraine pain; Danamep; Disprin cv; Disprin direct; Durlaza; Enprin; Equi-prin; Gencardia; Levius; Max strgh aspro clr; Measurin; Micropirin ec; Nu-seals 300; Nu-seals 600; Nu-seals 75; Nu-seals cardio 75; Paynocil; Platet; Platet 300; Postmi 300; Postmi 75; Salicylic acid acetate; Vazalore,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL25,p(HGNC:PTGS2),"bp(MOA:""Cyclooxygenase inhibitor"")"
CHEMBL1237022,TOCILIZUMAB,Actemra roactemra; Roactemra; Tofidence; Tyenne,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1237022,p(HGNC:IL6R),"bp(MOA:""Interleukin-6 receptor alpha subunit inhibitor"")"
CHEMBL2108806,BEMIPARIN SODIUM,Ivor; Zibor,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2108806,p(HGNC:SERPINC1),"bp(MOA:""Antithrombin-III activator"")"
CHEMBL2364655,EVOLOCUMAB,Repatha; Repatha sureclick,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2364655,,"bp(MOA:""Subtilisin/kexin type 9 inhibitor"")"
CHEMBL547,ISOTRETINOIN,Absorica; Absorica ld; Accutane; Amnesteem; Claravis; Isotrex; Myorisan; Roaccutane; Sotret; Zenatane,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL547,p(HGNC:RARG),"bp(MOA:""Retinoic acid receptor agonist"")"
CHEMBL3707348,ACALABRUTINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3707348,p(HGNC:BTK),"bp(MOA:""Tyrosine-protein kinase BTK inhibitor"")"
CHEMBL163,RITONAVIR,Norvir; Ritonavir; Ritonavir component of kaletra; Ritonavir component of paxlovid; Ritonavir component of technivie; Ritonavir component of viekirax; Ritonavir component of xiannuoxin; Ritonavir mylan,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL163,p(HGNC:CYP3A4),"bp(MOA:""Human immunodeficiency virus type 1 protease inhibitor""); bp(MOA:""Cytochrome P450 3A inhibitor"")"
CHEMBL2110727,CENICRIVIROC,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL2110727,p(HGNC:CCR5); p(HGNC:CCR2),"bp(MOA:""C-C chemokine receptor type 5 antagonist""); bp(MOA:""C-C chemokine receptor type 2 antagonist"")"
CHEMBL4297886,ASUNERCEPT,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297886,,"bp(MOA:""Tumor necrosis factor ligand superfamily member 6 binding agent"")"
CHEMBL3545189,LANADELUMAB,Takhzyro,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3545189,,"bp(MOA:""Plasma kallikrein inhibitor"")"
CHEMBL1201834,CANAKINUMAB,Ilaris,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201834,p(HGNC:IL1B),"bp(MOA:""Interleukin-1 beta inhibitor"")"
CHEMBL1536,ERGOCALCIFEROL,Deltalin; Drisdol; Eciferol d2; Ergocalciferol; Ergocalciferol component of vitaped; Ergo-d2; Ergoral d2; Sterogyl; Sterogyl-15; Sterogyl 15h; Uvesterol d; Vitamin d; Vitamin d 2,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1536,p(HGNC:VDR),"bp(MOA:""Vitamin D receptor agonist"")"
