chembl_id,drug_name,SMILES,from_protein,from_pathway,from_moa,protein_row_indices,pathway_row_indices,moa_row_indices,phase,status,gene_symbols,pathways,pathway_ids,mechanisms,disease_ids,disease_names,support_sources_count,n_genes,n_pathways,n_moas
CHEMBL1000,CETIRIZINE,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,True,True,False,977,6607,,4.0,,HRH1,G alpha (q) signalling events,R-HSA-416476,,EFO_0005751,eye allergy,2,1,1,0
CHEMBL1004,DOXYLAMINE,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,True,True,False,1034,6664,,3.0,Completed,HRH1,G alpha (q) signalling events,R-HSA-416476,,HP_0002017,Nausea and vomiting,2,1,1,0
CHEMBL1005,REMIFENTANIL,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,True,True,False,325,295;1329;7242,,3.0,Completed,OPRM1,G alpha (i) signalling events;Interleukin-4 and Interleukin-13 signaling;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-418594;R-HSA-6785807,,EFO_0000616,neoplasm,2,1,3,0
CHEMBL1008,BEPRIDIL,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,True,False,False,1905;2489,,,4.0,,CACNA1A;CACNA2D1,,,,EFO_0000319,cardiovascular disease,1,2,0,0
CHEMBL101,PHENYLBUTAZONE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,True,True,True,127;921,350;4468;5561;5621;5677;6061;6135;6209;6283;6357;6431,142,4.0,,PTGS1;PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;COX reactions;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-140180;R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,Cyclooxygenase inhibitor,EFO_0005755,rheumatic disease,3,2,10,1
CHEMBL101253,VATALANIB,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,True,True,False,1125;1165,570;6982;7023;7516,,3.0,Completed,KIT;PDGFRB,RAF/MAP kinase cascade;Signaling by SCF-KIT;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,R-HSA-1433557;R-HSA-5673001;R-HSA-8866910,,EFO_0004288,colonic neoplasm,2,2,3,0
CHEMBL1014,CANDESARTAN CILEXETIL,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,True,True,True,584,6538;7157;7268;7288,4,4.0,,AGTR1,Cargo recognition for clathrin-mediated endocytosis;Clathrin-mediated endocytosis;G alpha (q) signalling events;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-416476;R-HSA-8856825;R-HSA-8856828,Type-1 angiotensin II receptor antagonist,EFO_0000400,diabetes mellitus,3,1,4,1
CHEMBL1016,CANDESARTAN,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,True,True,True,591,6545;7164;7275;7295,5,3.0,Unknown status,AGTR1,Cargo recognition for clathrin-mediated endocytosis;Clathrin-mediated endocytosis;G alpha (q) signalling events;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-416476;R-HSA-8856825;R-HSA-8856828,Type-1 angiotensin II receptor antagonist,EFO_0000266,aortic stenosis,3,1,4,1
CHEMBL1017,TELMISARTAN,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,True,True,True,585,6539;7158;7269;7289,6,4.0,,AGTR1,Cargo recognition for clathrin-mediated endocytosis;Clathrin-mediated endocytosis;G alpha (q) signalling events;Peptide ligand-binding receptors,R-HSA-375276;R-HSA-416476;R-HSA-8856825;R-HSA-8856828,Type-1 angiotensin II receptor antagonist,EFO_0000400,diabetes mellitus,3,1,4,1
CHEMBL1020,TOLMETIN,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,True,True,False,141;922,364;4482;5562;5622;5691;6075;6149;6223;6297;6371;6445,,4.0,,PTGS1;PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;COX reactions;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-140180;R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,,EFO_0005755,rheumatic disease,2,2,10,0
CHEMBL1021,NEPAFENAC,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,True,True,True,118;902,341;4459;5542;5602;5668;6052;6126;6200;6274;6348;6422,127,4.0,,PTGS1;PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;COX reactions;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-140180;R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,Cyclooxygenase inhibitor,EFO_0003843,pain,3,2,10,1
CHEMBL10316,IDAZOXAN,c1ccc2c(c1)OCC(C1=NCCN1)O2,True,True,False,1346;1399;2546,917;970;1021;1074;1125;1177;1230;1409;1462;1513,,3.0,Withdrawn,ADRA2A;ADRA2B;ADRA2C,"Adrenaline signalling through Alpha-2 adrenergic receptor;Adrenaline,noradrenaline inhibits insulin secretion;Adrenoceptors;G alpha (i) signalling events;G alpha (z) signalling events;Surfactant metabolism",R-HSA-390696;R-HSA-392023;R-HSA-400042;R-HSA-418594;R-HSA-418597;R-HSA-5683826,,MONDO_0002009,major depressive disorder,2,3,6,0
CHEMBL1034,DICLOFENAC SODIUM,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],True,True,True,96;893,319;4437;5533;5593;5646;6030;6104;6178;6252;6326;6400,103,4.0,,PTGS1;PTGS2,Biosynthesis of DHA-derived SPMs;Biosynthesis of DPAn-3 SPMs;Biosynthesis of EPA-derived SPMs;Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives;COX reactions;Interleukin-10 signaling;Interleukin-4 and Interleukin-13 signaling;Nicotinamide salvaging;Synthesis of 15-eicosatetraenoic acid derivatives;Synthesis of Prostaglandins (PG) and Thromboxanes (TX),R-HSA-140180;R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-73614;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,Cyclooxygenase inhibitor,EFO_0000685,rheumatoid arthritis,3,2,10,1
CHEMBL103667,DORAMAPIMOD,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,False,False,True,,,89,,,,,,MAP kinase p38 alpha inhibitor,,,1,0,0,1
