smiles,p_value_0,p_value_1,BBB_penetration
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.729,0.0156,0
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0.0314,0.884,1
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,0.104,0.527,1
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,0.0338,0.93,1
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.716,0.0156,0
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,0.213,0.194,0
CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.21,0.143,0
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.364,0.046,0
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0.338,0.0756,0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,0.278,0.107,0
NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,0.219,0.196,0
c1ccc2c(c1)OCC(C1=NCCN1)O2,0.249,0.172,0
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],0.212,0.237,0.5
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,0.102,0.597,1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,0.148,0.529,1
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,0.122,0.422,1
NCCCCCC(=O)O,0.504,0.0315,0
CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,0.0747,0.816,1
CC(C)C[C@H](CN)CC(=O)O,0.109,0.436,1
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.114,0.47,1
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,0.164,0.259,1
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.0757,0.673,1
COc1ccc2cc(CCC(C)=O)ccc2c1,0.174,0.375,1
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0.693,0.00838,0
CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,0.204,0.199,0
CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2,0.0802,0.566,1
